Tanggal,Wilayah,Harga_Ayam,Harga_Jagung_Pipilan_Kg,Is_Hari_Raya,Efek_Lebaran
2021-01-01,Kota Bogor,36250,6600,1,0
2021-01-02,Kota Bogor,36250,6500,0,0
2021-01-03,Kota Bogor,36250,6600,0,0
2021-01-04,Kota Bogor,36250,6750,0,0
2021-01-05,Kota Bogor,36250,6500,0,0
2021-01-06,Kota Bogor,36000,6500,0,0
2021-01-07,Kota Bogor,36000,6800,0,0
2021-01-08,Kota Bogor,36000,6650,0,0
2021-01-09,Kota Bogor,36250,6500,0,0
2021-01-10,Kota Bogor,36500,6650,0,0
2021-01-11,Kota Bogor,36750,6500,0,0
2021-01-12,Kota Bogor,37000,6500,0,0
2021-01-13,Kota Bogor,37000,6600,0,0
2021-01-14,Kota Bogor,37000,6300,0,0
2021-01-15,Kota Bogor,37000,6350,0,0
2021-01-16,Kota Bogor,36667,6500,0,0
2021-01-17,Kota Bogor,36333,6450,0,0
2021-01-18,Kota Bogor,36000,6650,0,0
2021-01-19,Kota Bogor,36000,6500,0,0
2021-01-20,Kota Bogor,36000,6400,0,0
2021-01-21,Kota Bogor,36000,6850,0,0
2021-01-22,Kota Bogor,35750,6600,0,0
2021-01-23,Kota Bogor,35750,6650,0,0
2021-01-24,Kota Bogor,35750,6450,0,0
2021-01-25,Kota Bogor,35750,6600,0,0
2021-01-26,Kota Bogor,35750,6700,0,0
2021-01-27,Kota Bogor,35750,6500,0,0
2021-01-28,Kota Bogor,35750,6750,0,0
2021-01-29,Kota Bogor,35750,6600,0,0
2021-01-30,Kota Bogor,35750,6650,0,0
2021-01-31,Kota Bogor,35750,6600,0,0
2021-02-01,Kota Bogor,35750,7000,0,0
2021-02-02,Kota Bogor,35750,6700,0,0
2021-02-03,Kota Bogor,35750,6550,0,0
2021-02-04,Kota Bogor,35750,6850,0,0
2021-02-05,Kota Bogor,35750,6550,0,0
2021-02-06,Kota Bogor,35917,6750,0,0
2021-02-07,Kota Bogor,36083,6450,0,0
2021-02-08,Kota Bogor,36250,6550,0,0
2021-02-09,Kota Bogor,36250,6750,0,0
2021-02-10,Kota Bogor,36250,6850,0,0
2021-02-11,Kota Bogor,36750,6800,0,0
2021-02-12,Kota Bogor,36750,6750,1,0
2021-02-13,Kota Bogor,36750,6700,0,0
2021-02-14,Kota Bogor,36750,6550,0,0
2021-02-15,Kota Bogor,36750,6650,0,0
2021-02-16,Kota Bogor,36750,6700,0,0
2021-02-17,Kota Bogor,36750,6950,0,0
2021-02-18,Kota Bogor,36750,6850,0,0
2021-02-19,Kota Bogor,36750,6550,0,0
2021-02-20,Kota Bogor,36583,6850,0,0
2021-02-21,Kota Bogor,36417,6750,0,0
2021-02-22,Kota Bogor,36250,6700,0,0
2021-02-23,Kota Bogor,36250,6900,0,0
2021-02-24,Kota Bogor,36250,6950,0,0
2021-02-25,Kota Bogor,36750,6950,0,0
2021-02-26,Kota Bogor,36750,6700,0,0
2021-02-27,Kota Bogor,36750,6800,0,0
2021-02-28,Kota Bogor,36750,6900,0,0
2021-03-01,Kota Bogor,36750,7000,0,0
2021-03-02,Kota Bogor,36750,6750,0,0
2021-03-03,Kota Bogor,36750,6800,0,0
2021-03-04,Kota Bogor,37000,6700,0,0
2021-03-05,Kota Bogor,37250,6650,0,0
2021-03-06,Kota Bogor,37250,7000,0,0
2021-03-07,Kota Bogor,37250,7050,0,0
2021-03-08,Kota Bogor,37250,6850,0,0
2021-03-09,Kota Bogor,37250,7000,0,0
2021-03-10,Kota Bogor,37250,6900,0,0
2021-03-11,Kota Bogor,37250,6750,1,0
2021-03-12,Kota Bogor,37250,6950,0,0
2021-03-13,Kota Bogor,37250,7100,0,0
2021-03-14,Kota Bogor,37250,6900,1,0
2021-03-15,Kota Bogor,37250,7100,0,0
2021-03-16,Kota Bogor,37250,6500,0,0
2021-03-17,Kota Bogor,37250,7000,0,0
2021-03-18,Kota Bogor,37250,6900,0,0
2021-03-19,Kota Bogor,37000,6850,0,0
2021-03-20,Kota Bogor,37000,6900,0,0
2021-03-21,Kota Bogor,37000,6600,0,0
2021-03-22,Kota Bogor,37000,6850,0,0
2021-03-23,Kota Bogor,37000,6950,0,0
2021-03-24,Kota Bogor,37000,7150,0,0
2021-03-25,Kota Bogor,37000,6850,0,0
2021-03-26,Kota Bogor,37500,6800,0,0
2021-03-27,Kota Bogor,37500,6850,0,0
2021-03-28,Kota Bogor,37500,7050,0,0
2021-03-29,Kota Bogor,37500,6950,0,0
2021-03-30,Kota Bogor,37500,6850,0,0
2021-03-31,Kota Bogor,37500,7000,0,0
2021-04-01,Kota Bogor,37500,6950,0,0
2021-04-02,Kota Bogor,38000,7050,1,0
2021-04-03,Kota Bogor,38500,6800,0,0
2021-04-04,Kota Bogor,39000,6850,0,0
2021-04-05,Kota Bogor,39500,6850,0,0
2021-04-06,Kota Bogor,39500,6700,0,0
2021-04-07,Kota Bogor,39500,6950,0,0
2021-04-08,Kota Bogor,39500,6950,0,0
2021-04-09,Kota Bogor,39500,6950,0,0
2021-04-10,Kota Bogor,40250,6900,0,0
2021-04-11,Kota Bogor,41000,6700,0,0
